F148W,F169M,F172M,N219M,N279N,U,B,V,R,I,J,H,K,FUV,NUV,age,Z
3.52424E-21,3.38112E-21,3.24858E-21,3.05966E-21,2.63981E-21,2.57E-21,3.40E-21,2.82E-21,2.36E-21,1.92E-21,1.34E-21,1.06E-21,1.96E-22,3.46E-21,3.01E-21,1.00E-04,7.80E+00
2.92503E-21,2.84144E-21,2.75273E-21,2.65151E-21,2.38261E-21,2.48E-21,3.49E-21,3.14E-21,3.05E-21,2.87E-21,2.81E-21,2.78E-21,5.42E-22,2.89E-21,2.64E-21,1.00E-04,7.90E+00
2.27186E-21,2.22227E-21,2.1619E-21,2.10938E-21,1.94403E-21,2.10E-21,3.04E-21,2.57E-21,2.16E-21,1.74E-21,1.17E-21,8.53E-22,1.52E-22,2.25E-21,2.11E-21,1.00E-04,8.00E+00
1.7073E-21,1.68278E-21,1.6447E-21,1.62662E-21,1.54313E-21,1.77E-21,2.76E-21,2.61E-21,2.64E-21,2.54E-21,2.54E-21,2.52E-21,4.89E-22,1.70E-21,1.64E-21,1.00E-04,8.10E+00
1.30338E-21,1.29993E-21,1.27996E-21,1.29011E-21,1.2724E-21,1.58E-21,2.64E-21,2.72E-21,3.07E-21,3.20E-21,3.64E-21,3.84E-21,7.57E-22,1.31E-21,1.32E-21,1.00E-04,8.20E+00
9.55285E-22,9.59137E-22,9.48052E-22,9.64992E-22,9.70185E-22,1.23E-21,2.07E-21,2.06E-21,2.18E-21,2.17E-21,2.31E-21,2.35E-21,4.62E-22,9.62E-22,9.92E-22,1.00E-04,8.30E+00
7.5754E-22,7.78221E-22,7.79191E-22,8.16584E-22,8.72953E-22,1.24E-21,2.26E-21,2.30E-21,2.50E-21,2.53E-21,2.75E-21,2.83E-21,5.55E-22,7.73E-22,8.56E-22,1.00E-04,8.40E+00
5.30635E-22,5.50881E-22,5.55962E-22,5.90348E-22,6.4955E-22,9.62E-22,1.81E-21,1.83E-21,1.92E-21,1.90E-21,1.96E-21,1.94E-21,3.77E-22,5.45E-22,6.24E-22,1.00E-04,8.50E+00
3.68447E-22,3.96559E-22,4.08868E-22,4.49941E-22,5.33438E-22,9.05E-22,1.85E-21,1.98E-21,2.23E-21,2.29E-21,2.55E-21,2.63E-21,5.17E-22,3.87E-22,4.88E-22,1.00E-04,8.60E+00
2.4533E-22,2.6503E-22,2.75723E-22,3.06832E-22,3.69638E-22,6.16E-22,1.26E-21,1.32E-21,1.41E-21,1.40E-21,1.45E-21,1.42E-21,2.76E-22,2.58E-22,3.35E-22,1.00E-04,8.70E+00
1.74887E-22,1.93347E-22,2.06569E-22,2.39059E-22,3.10798E-22,5.72E-22,1.22E-21,1.36E-21,1.54E-21,1.57E-21,1.68E-21,1.67E-21,3.23E-22,1.86E-22,2.68E-22,1.00E-04,8.80E+00
1.33875E-22,1.51509E-22,1.64401E-22,1.93349E-22,2.57854E-22,4.86E-22,1.06E-21,1.19E-21,1.34E-21,1.36E-21,1.44E-21,1.42E-21,2.73E-22,1.44E-22,2.19E-22,1.00E-04,8.90E+00
9.4884E-23,1.11634E-22,1.25872E-22,1.53664E-22,2.17136E-22,4.48E-22,1.03E-21,1.25E-21,1.51E-21,1.60E-21,1.80E-21,1.83E-21,3.55E-22,1.04E-22,1.77E-22,1.00E-04,9.00E+00
