RA_UVIT (deg),RA_std (deg),DEC_UVIT (deg),DEC_std (deg),F148W_AB,F148W_err,F172M_AB,F172M_err,N219M_AB,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err,Field,Seq,Source_ID,f,p,c,RAJ2000,DEJ2000,U_vega,B_vega,V_vega,R_vega,I_vega,J_vega,H_vega,K_vega,NUV,NUV_err,FUV,FUV_err,Vr,e_Vr,E_B-V_1,e_E_B-V_1,E_B-V_2,r_E_B-V_2,__Fe_H_,Hbet,x,y,Rp,SimbadName,Separation
10.71386717,6.87E-05,41.26159727,3.66E-04,99.99,99.99,99.99,99.99,22.574244,0.251292377,21.66286992,0.250466844,99.99,99.99,1,?,B132,1,0,1,10.71419583,41.26135,19.61,18.666,17.739,16.886,16.44,14.692,13.746,13.701,,,,,35,28,,,0.3,0,,,0.45,-1.34,0.32,Bol 132,1.258362753
10.71529015,1.87E-04,41.23433174,2.14E-05,24.09446924,0.157332249,23.61622029,0.291536122,22.2852437,0.220576601,21.37386962,0.219635647,23.20341205,0.201413316,1,?,B134,1,0,1,10.715325,41.23428333,17.63,17.48,16.57,16.07,15.45,14.402,13.928,13.812,21.305,0.198,,,-369,11,0.03,0.02,0.13,0,-0.79,1.78,-0.8,-2.38,0.57,Bol 134,0.198166733
10.72347007,6.08E-05,41.32607009,9.14E-05,22.15670452,0.090755759,22.45779412,0.172780758,21.63028492,0.164701817,20.71891084,0.163439498,22.20914665,0.129029763,1,?,B136,1,0,1,10.72352917,41.32614444,18.07,17.98,17.005,16.52,16.07,15.31,,14.45,20.927,0.094,22.24,0.22,-628,16,0.36,0.04,0.12,0,,,3.77,0.72,0.87,Bol 136,0.311718356
10.73157811,2.51E-04,41.30983833,1.99E-04,99.99,99.99,24.12636374,0.367982731,99.99,99.99,99.99,99.99,24.53260763,0.369240446,1,?,B138,1,0,1,10.73172917,41.30967778,18.668,17.917,16.917,16.321,15.692,14.614,13.905,13.733,,,,,-347,10,,,0.22,0,,,3.22,-0.18,0.73,Bol 138,0.707750751
10.74487021,2.27E-04,41.14791464,1.29E-04,24.41979688,0.178010611,23.83129074,0.321572268,23.81109038,0.441462771,22.8997163,0.440993378,25.45592052,0.564082689,1,?,B140,1,0,1,10.74479583,41.147975,19.12,18.481,17.496,16.9,16.197,15.191,14.49,14.365,,,,,-413,12,0.04,0.01,0.19,0,-0.29,0.18,-4.06,-6.62,1.77,Bol 140,0.296432112
10.74846663,3.01E-04,41.3219491,9.12E-05,23.53007483,0.129257404,23.53965324,0.281548161,22.82428729,0.2814416,21.9129132,0.280704747,99.99,99.99,1,?,B143,1,0,1,10.74854583,41.322025,17.75,17.14,16,15.48,14.78,13.768,12.982,12.938,21.98,0.22,,,-128,23,0.05,0.02,0.34,0,-0.09,1.53,4.27,-0.32,0.97,Bol 143,0.347135182
10.74944312,2.08E-04,41.2680932,2.18E-04,23.71794346,0.137611681,23.5998104,0.28936541,22.64753499,0.259767055,21.73616091,0.258968538,23.31981476,0.212321354,1,?,B144,1,0,1,10.74942917,41.26820833,18.345,17.691,16.727,16.153,15.397,14.086,13.333,13.064,,,,,-140,12,0.05,0.02,0.24,0,-0.55,1.76,1.75,-2.34,0.67,Bol 144,0.416191316
10.75623347,4.38E-04,41.20735203,4.74E-04,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,24.82156929,0.421546194,1,?,B145,1,0,1,10.7565875,41.20746944,19.497,18.42,18.1,17.761,17.251,,,,20.025,0.037,20.269,0.052,-303,16,,,0.14,0,,,-0.92,-4.84,1.12,Bol 145,1.047896372
10.76196313,2.03E-04,41.25625406,2.03E-04,23.78896711,0.14101612,23.4334984,0.268277054,23.20299744,0.334362413,22.29162336,0.333742421,99.99,99.99,1,?,B146,1,0,1,10.76217083,41.25625278,18.25,17.851,16.95,16.348,15.86,14.595,14.059,13.839,,,,,-249,61,0.06,0.04,0.18,0,-0.53,0.2,1.54,-3.24,0.82,Bol 146,0.562131977
10.766036,5.26E-06,41.30132886,4.04E-05,20.12730957,0.073615088,20.08305742,0.064629249,20.19036123,0.089612705,19.27898714,0.087270945,20.35492146,0.059846264,1,?,B148,1,0,1,10.7661,41.30131111,16.92,16.82,15.799,15.4,14.88,13.941,13.151,13.169,19.601,0.031,20.463,0.062,-290,9,0.17,0.02,0.28,0,-0.7,2.01,3.78,-1.71,0.94,Bol 148,0.184511537
10.78103547,3.82E-04,41.33873379,1.97E-04,24.03513763,0.153941256,23.33828757,0.256920442,99.99,99.99,99.99,99.99,24.42440354,0.351385106,1,?,B150,1,0,1,10.78131667,41.33875,18.29,17.9,16.8,16.3,15.52,14.125,13.387,13.237,,,,,-138,7,0.28,0.07,0.19,0,,,5.97,-0.86,1.37,Bol 150,0.762305403
10.78962664,1.93E-04,41.35893222,1.41E-04,22.88035795,0.106736936,23.36876157,0.260500568,22.50721702,0.243792802,21.59584293,0.242941785,23.59212007,0.240280053,1,?,B151,1,0,1,10.78982083,41.35888611,16.73,16.056,14.83,14.13,13.38,12.253,11.499,11.358,21.182,0.093,22.5,0.23,-330,2,0.32,0.01,0.53,0,-0.44,1.78,7.16,-0.42,1.63,Bol 151,0.550355036
10.7916554,3.37E-04,41.30440255,9.59E-05,24.04543478,0.154521803,23.39442011,0.263554716,22.22189166,0.214383536,21.31051757,0.213415279,99.99,99.99,1,?,B152,1,0,1,10.79173333,41.30438611,17.26,17.07,16.16,15.58,14.92,13.901,13.184,13.019,21.457,0.131,,,-129,34,0.18,0.01,0.18,0,-1.53,1.22,4.63,-2.51,1.2,Bol 152,0.218911138
10.79419976,7.00E-05,41.24758891,8.19E-05,23.25189016,0.118489977,22.77248815,0.198940611,22.94744171,0.297637187,22.03606762,0.296940526,24.07981301,0.30013533,1,?,B153,1,0,1,10.79425417,41.24758611,17.86,17.24,16.24,15.69,14.94,13.864,13.101,13.089,21.83,0.198,22.9,0.37,-231,15,0.05,0.01,0.21,0,-0.13,1.58,2.02,-4.7,1.16,Bol 153,0.147597625
10.80201435,4.30E-04,41.26814235,2.81E-04,99.99,99.99,24.05293382,0.355832733,23.85084749,0.449573077,22.93947341,0.44911216,25.22199223,0.506605696,1,?,B154,1,0,1,10.80189583,41.26802222,18.296,17.715,16.758,16.201,15.649,14.659,13.881,13.774,,,,,-199,33,0.15,0.03,0.17,0,0.03,1.65,3.2,-4.21,1.2,Bol 154,0.538393423
10.80821933,4.28E-05,41.18883746,4.30E-05,22.8449466,0.105757259,22.38711668,0.167422923,21.32001088,0.143751133,20.40863679,0.142303088,23.39080017,0.219270766,1,?,B157,1,0,1,10.8083875,41.18878611,18.36,18.38,17.73,17.191,16.65,15.185,,,21.045,0.067,,,4,40,0.09,0.03,0.09,2,,,-0.36,-7.37,1.68,Bol 157,0.491676914
10.80997699,3.06E-05,41.12258363,5.37E-05,19.97834142,0.073166239,20.01507085,0.063086613,19.80591161,0.077280904,18.89453752,0.074552793,20.43272602,0.061615718,1,?,B158,1,0,1,10.810025,41.12257778,15.9,15.56,14.7,14.15,13.55,12.627,11.907,11.813,19.33,0.022,20.076,0.047,-187,1,0.14,0,0.16,0,-0.74,1.74,-3.44,-9.88,2.38,Bol 158,0.131902376
10.81069656,3.09E-04,41.42019146,3.39E-04,99.99,99.99,99.99,99.99,23.79939947,0.439106144,22.88802538,0.438634229,24.72753827,0.403752364,1,?,B159,1,0,1,10.811025,41.42038056,18.1,18.08,17.2,16.53,15.79,15.099,14.265,14.169,,,,,-175,12,,,0.54,0,-0.77,2.57,10.65,1.1,2.44,Bol 159,1.117846815
10.81419771,4.03E-05,41.19026426,4.32E-05,21.12294633,0.078682411,21.256497,0.102453038,20.79574015,0.11481421,19.88436607,0.112995946,21.12801646,0.081147674,1,?,B161,1,0,1,10.81423333,41.19031944,17.41,17.14,16.33,15.82,15.23,14.397,13.7,13.702,20.146,0.034,21.091,0.079,-413,12,0.17,0.01,0.18,0,-0.74,1.98,-0.13,-7.53,1.71,Bol 161,0.220873055
10.8183154,4.07E-04,41.40128585,2.56E-04,26.00200224,0.346286811,99.99,99.99,24.67293927,0.65550184,23.76156518,0.655185808,25.23220591,0.508987773,1,?,B162,1,0,1,10.818375,41.40123611,18.92,18.53,17.48,16.86,16.14,14.907,14.194,13.826,,,,,-146,8,0.25,0.03,0.21,0,0.02,1.94,9.95,0.13,2.27,Bol 162,0.240770309
10.82576658,4.77E-04,41.20812149,1.33E-04,99.99,99.99,24.10511173,0.364423644,23.2595162,0.34309153,22.34814211,0.342487341,99.99,99.99,1,?,B164,1,0,1,10.82568333,41.20815278,19.451,18.98,17.94,17.29,16.63,15.348,14.667,14.552,,,,,-294,12,0.12,0.03,0.23,0,-0.41,1.65,1.03,-7.27,1.67,Bol 164,0.252037415
